| p                                          | propLabel                                                               | eff   | notes |
| http://www.wikidata.org/prop/direct/P9322  | SVKKL authority ID                                                      | 12    |       |
| http://www.wikidata.org/prop/direct/P6821  | Alvin ID                                                                | 12    |       |
| http://www.wikidata.org/prop/direct/P4432  | Artists of the World ID                                                 | 12    |       |
| http://www.wikidata.org/prop/direct/P7545  | askArt person ID                                                        | 12    |       |
| http://www.wikidata.org/prop/direct/P6578  | MutualArt artist ID                                                     | 12    |       |
| http://www.wikidata.org/prop/direct/P4927  | Invaluable.com person ID                                                | 12    |       |
| http://www.wikidata.org/prop/direct/P9775  | Treccani's Lessico del XXI Secolo ID                                    | 12    |       |
| http://www.wikidata.org/prop/direct/P1670  | Canadiana Authorities ID (former scheme)                                | 12    |       |
| http://www.wikidata.org/prop/direct/P12858 | UNIBO professor ID                                                      | 11    |       |
| http://www.wikidata.org/prop/direct/P902   | HDS ID                                                                  | 11    |       |
| http://www.wikidata.org/prop/direct/P2389  | organization directed by the office or position                         | 11    |       |
| http://www.wikidata.org/prop/direct/P11185 | Levadia Library ID                                                      | 11    |       |
| http://www.wikidata.org/prop/direct/P8153  | Accademia delle Scienze di Torino ID                                    | 11    |       |
| http://www.wikidata.org/prop/direct/P8985  | Dizionario bio-bibliografico dei bibliotecari italiani del XX secolo ID | 10    |       |
| http://www.wikidata.org/prop/direct/P1556  | zbMATH author ID                                                        | 10    |       |
| http://www.wikidata.org/prop/direct/P511   | honorific prefix                                                        | 10    |       |
| http://www.wikidata.org/prop/direct/P11245 | YouTube handle                                                          | 10    |       |
| http://www.wikidata.org/prop/direct/P5034  | National Library of Korea ID                                            | 10    |       |
| http://www.wikidata.org/prop/direct/P7842  | Vienna History Wiki ID                                                  | 10    |       |
| http://www.wikidata.org/prop/direct/P1416  | affiliation                                                             | 10    |       |
| http://www.wikidata.org/prop/direct/P841   | feast day                                                               | 10    |       |
| http://www.wikidata.org/prop/direct/P7491  | Austrian Parliament 1848–1918 ID                                        | 10    |       |
| http://www.wikidata.org/prop/direct/P6104  | maintained by WikiProject                                               | 10    |       |
| http://www.wikidata.org/prop/direct/P411   | canonization status                                                     | 10    |       |
| http://www.wikidata.org/prop/direct/P9507  | NBM authority ID                                                        | 10    |       |
| http://www.wikidata.org/prop/direct/P2604  | Kinopoisk person ID                                                     | 9     |       |
| http://www.wikidata.org/prop/direct/P5551  | Courrier international topic ID                                         | 9     |       |
| http://www.wikidata.org/prop/direct/P9661  | EBAF authority ID                                                       | 9     |       |
| http://www.wikidata.org/prop/direct/P10347 | World Economic Forum ID                                                 | 9     |       |
| http://www.wikidata.org/prop/direct/P7085  | TikTok username                                                         | 9     |       |
| http://www.wikidata.org/prop/direct/P94    | coat of arms image                                                      | 9     |       |
| http://www.wikidata.org/prop/direct/P9656  | Istituto Veneto di Scienze, Lettere ed Arti member ID                   | 9     |       |
| http://www.wikidata.org/prop/direct/P11386 | Listal ID                                                               | 9     |       |
| http://www.wikidata.org/prop/direct/P6488  | Enciclopedia delle donne ID                                             | 8     |       |
| http://www.wikidata.org/prop/direct/P1411  | nominated for                                                           | 8     |       |
| http://www.wikidata.org/prop/direct/P1711  | British Museum person or institution ID                                 | 8     |       |
| http://www.wikidata.org/prop/direct/P1449  | nickname                                                                | 8     |       |
| http://www.wikidata.org/prop/direct/P5463  | AE member ID                                                            | 8     |       |
| http://www.wikidata.org/prop/direct/P12520 | Italian Senate (1848-1943) ID                                           | 7     |       |
| http://www.wikidata.org/prop/direct/P6219  | TASS reference ID                                                       | 7     |       |
| http://www.wikidata.org/prop/direct/P7578  | DUC ID                                                                  | 7     |       |
| http://www.wikidata.org/prop/direct/P8603  | Istrapedia ID                                                           | 7     |       |
| http://www.wikidata.org/prop/direct/P6081  | RIA Novosti reference                                                   | 7     |       |
| http://www.wikidata.org/prop/direct/P7445  | Basis Wien person ID                                                    | 7     |       |
| http://www.wikidata.org/prop/direct/P7203  | Dizionario biografico dei Friulani ID                                   | 7     |       |
| http://www.wikidata.org/prop/direct/P6327  | Goodreads character ID                                                  | 7     |       |
| http://www.wikidata.org/prop/direct/P10058 | IRIS UNIBO author ID                                                    | 7     |       |
| http://www.wikidata.org/prop/direct/P945   | allegiance                                                              | 7     |       |
| http://www.wikidata.org/prop/direct/P3954  | Senate of the Kingdom of Italy ID (obsolete)                            | 7     |       |
| http://www.wikidata.org/prop/direct/P5254  | FilmTv.it person ID                                                     | 7     |       |
| http://www.wikidata.org/prop/direct/P3716  | social classification                                                   | 7     |       |
| http://www.wikidata.org/prop/direct/P1424  | topic has template                                                      | 7     |       |
| http://www.wikidata.org/prop/direct/P3509  | Dagens Nyheter topic ID                                                 | 7     |       |
| http://www.wikidata.org/prop/direct/P4782  | Movieplayer person ID                                                   | 7     |       |
| http://www.wikidata.org/prop/direct/P3360  | Nobel Prize People Nomination ID                                        | 7     |       |
| http://www.wikidata.org/prop/direct/P7744  | Mille Anni di Scienza in Italia ID                                      | 6     |       |
| http://www.wikidata.org/prop/direct/P7700  | Slovak National Library (VIAF) ID                                       | 6     |       |
| http://www.wikidata.org/prop/direct/P651   | Biografisch Portaal van Nederland ID                                    | 6     |       |
| http://www.wikidata.org/prop/direct/P1185  | Rodovid ID                                                              | 6     |       |
| http://www.wikidata.org/prop/direct/P9545  | Encyclopedia of China (Second Edition) ID                               | 6     |       |
| http://www.wikidata.org/prop/direct/P14107 | Trismegistos editor ID                                                  | 6     |       |
| http://www.wikidata.org/prop/direct/P5815  | Olympics.com athlete ID                                                 | 6     |       |
| http://www.wikidata.org/prop/direct/P3171  | Olympic.org athlete ID (archived)                                       | 6     |       |
| http://www.wikidata.org/prop/direct/P800   | notable work                                                            | 6     |       |
| http://www.wikidata.org/prop/direct/P11192 | Piraeus Bank Group Cultural Foundation Library (A) ID                   | 6     |       |
| http://www.wikidata.org/prop/direct/P9743  | Podchaser creator ID                                                    | 6     |       |
| http://www.wikidata.org/prop/direct/P2188  | BiblioNet author ID                                                     | 6     |       |
| http://www.wikidata.org/prop/direct/P9880  | Festivaletteratura person ID                                            | 6     |       |
| http://www.wikidata.org/prop/direct/P10757 | Personality Database profile ID                                         | 6     |       |
| http://www.wikidata.org/prop/direct/P12800 | Vikidia article ID                                                      | 6     |       |
| http://www.wikidata.org/prop/direct/P9855  | Edizioni Ares author ID                                                 | 6     |       |
| http://www.wikidata.org/prop/direct/P7101  | privacy policy URL                                                      | 6     |       |
| http://www.wikidata.org/prop/direct/P10938 | IRIS LUISS author ID                                                    | 6     |       |
| http://www.wikidata.org/prop/direct/P9843  | IRIS UNINA author ID                                                    | 6     |       |
| http://www.wikidata.org/prop/direct/P9642  | Olschki author ID                                                       | 6     |       |
| http://www.wikidata.org/prop/direct/P11012 | EU Knowledge Graph item ID                                              | 6     |       |
| http://www.wikidata.org/prop/direct/P2650  | interested in                                                           | 6     |       |
| http://www.wikidata.org/prop/direct/P3537  | FootballDatabase.eu person ID                                           | 5     |       |
| http://www.wikidata.org/prop/direct/P13869 | NRK topic ID                                                            | 5     |       |
| http://www.wikidata.org/prop/direct/P7502  | Golden ID                                                               | 5     |       |
| http://www.wikidata.org/prop/direct/P723   | Digitale Bibliotheek voor de Nederlandse Letteren author ID             | 5     |       |
| http://www.wikidata.org/prop/direct/P3747  | SSRN author ID                                                          | 5     |       |
| http://www.wikidata.org/prop/direct/P361   | part of                                                                 | 5     |       |
| http://www.wikidata.org/prop/direct/P3342  | significant person                                                      | 5     |       |
| http://www.wikidata.org/prop/direct/P11434 | ComingSoon.it person ID                                                 | 5     |       |
| http://www.wikidata.org/prop/direct/P3280  | BAnQ authority ID                                                       | 5     |       |
| http://www.wikidata.org/prop/direct/P7803  | Decine21 person ID                                                      | 5     |       |
| http://www.wikidata.org/prop/direct/P7808  | kino-teatr.ru person ID                                                 | 5     |       |
| http://www.wikidata.org/prop/direct/P3221  | New York Times topic ID                                                 | 5     |       |
| http://www.wikidata.org/prop/direct/P11345 | Cinematografo.it name or company ID (new)                               | 5     |       |
| http://www.wikidata.org/prop/direct/P7929  | Roglo person ID                                                         | 5     |       |
| http://www.wikidata.org/prop/direct/P3204  | Ciné-Ressources person ID                                               | 5     |       |
| http://www.wikidata.org/prop/direct/P8125  | Fandango person ID                                                      | 5     |       |
| http://www.wikidata.org/prop/direct/P8214  | curriculum vitae URL                                                    | 5     |       |
| http://www.wikidata.org/prop/direct/P9826  | Great Encyclopedia of Cyril and Methodius entry ID                      | 5     |       |
| http://www.wikidata.org/prop/direct/P898   | IPA transcription                                                       | 5     |       |
| http://www.wikidata.org/prop/direct/P184   | doctoral advisor                                                        | 5     |       |
| http://www.wikidata.org/prop/direct/P8854  | Salzburgwiki ID                                                         | 5     |       |
| http://www.wikidata.org/prop/direct/P5068  | Flanders Arts Institute person ID (former scheme)                       | 5     |       |
| http://www.wikidata.org/prop/direct/P9404  | OFDb person ID                                                          | 5     |       |
| http://www.wikidata.org/prop/direct/P4768  | cinematografo.it name or company ID                                     | 5     |       |
| http://www.wikidata.org/prop/direct/P6683  | Alexander Turnbull Library ID                                           | 5     |       |
| http://www.wikidata.org/prop/direct/P4839  | Wolfram Language entity code                                            | 5     |       |
| http://www.wikidata.org/prop/direct/P6517  | WhoSampled artist ID                                                    | 5     |       |
| http://www.wikidata.org/prop/direct/P4939  | VERIF ID                                                                | 5     |       |
| http://www.wikidata.org/prop/direct/P12153 | FilmAffinity person and company ID                                      | 5     |       |
| http://www.wikidata.org/prop/direct/P1299  | depicted by                                                             | 5     |       |
| http://www.wikidata.org/prop/direct/P12483 | PMB – Personen der Moderne Basis person ID                              | 5     |       |
| http://www.wikidata.org/prop/direct/P7208  | Liber Liber author ID                                                   | 5     |       |
| http://www.wikidata.org/prop/direct/P1290  | godparent                                                               | 5     |       |
| http://www.wikidata.org/prop/direct/P5143  | amateur radio callsign                                                  | 5     |       |
| http://www.wikidata.org/prop/direct/P6210  | LIGA profile                                                            | 5     |       |
| http://www.wikidata.org/prop/direct/P5404  | Rate Your Music artist ID                                               | 5     |       |
| http://www.wikidata.org/prop/direct/P12674 | Kunstenpunt Knowledge Graph ID                                          | 5     |       |
| http://www.wikidata.org/prop/direct/P1266  | AlloCiné person ID                                                      | 5     |       |
| http://www.wikidata.org/prop/direct/P12542 | WhatsApp channel ID                                                     | 5     |       |
| http://www.wikidata.org/prop/direct/P4613  | Encyclopedia of Modern Ukraine ID                                       | 5     |       |
| http://www.wikidata.org/prop/direct/P3789  | Telegram username                                                       | 5     |       |
| http://www.wikidata.org/prop/direct/P1340  | eye color                                                               | 5     |       |
| http://www.wikidata.org/prop/direct/P6980  | LB.ua dossier ID                                                        | 5     |       |
| http://www.wikidata.org/prop/direct/P10565 | Encyclopedia of China (Third Edition) ID                                | 5     |       |
| http://www.wikidata.org/prop/direct/P13077 | Atatürk Ansiklopedisi ID                                                | 5     |       |
| http://www.wikidata.org/prop/direct/P10638 | Iris-AperTO author ID                                                   | 4     |       |
| http://www.wikidata.org/prop/direct/P549   | Mathematics Genealogy Project ID                                        | 4     |       |
| http://www.wikidata.org/prop/direct/P158   | seal image                                                              | 4     |       |
| http://www.wikidata.org/prop/direct/P5337  | Google News topics ID                                                   | 4     |       |
| http://www.wikidata.org/prop/direct/P2847  | Google+ ID                                                              | 4     |       |
| http://www.wikidata.org/prop/direct/P434   | MusicBrainz artist ID                                                   | 4     |       |
| http://www.wikidata.org/prop/direct/P2428  | RePEc Short-ID                                                          | 4     |       |
| http://www.wikidata.org/prop/direct/P5421  | Trading Card Database name ID                                           | 4     |       |
| http://www.wikidata.org/prop/direct/P13834 | Encyclopedia of Marxism ID                                              | 4     |       |
| http://www.wikidata.org/prop/direct/P9913  | FLORE author ID                                                         | 4     |       |
| http://www.wikidata.org/prop/direct/P13223 | Syrian Memory Institution person ID                                     | 4     |       |
| http://www.wikidata.org/prop/direct/P1142  | political ideology                                                      | 4     |       |
| http://www.wikidata.org/prop/direct/P9844  | IRIS UNIPV author ID                                                    | 3     |       |
| http://www.wikidata.org/prop/direct/P1366  | replaced by                                                             | 3     |       |
| http://www.wikidata.org/prop/direct/P2416  | sports discipline competed in                                           | 3     |       |
| http://www.wikidata.org/prop/direct/P11615 | InfluenceWatch ID                                                       | 3     |       |
| http://www.wikidata.org/prop/direct/P98    | editor                                                                  | 3     |       |
| http://www.wikidata.org/prop/direct/P2348  | time period                                                             | 3     |       |
| http://www.wikidata.org/prop/direct/P5664  | Savoirs ENS ID                                                          | 3     |       |
| http://www.wikidata.org/prop/direct/P185   | doctoral student                                                        | 3     |       |
| http://www.wikidata.org/prop/direct/P11673 | IRIS UNIROMA2 author ID                                                 | 3     |       |
| http://www.wikidata.org/prop/direct/P10518 | ICCROM authority ID                                                     | 3     |       |
| http://www.wikidata.org/prop/direct/P2067  | mass                                                                    | 3     |       |
| http://www.wikidata.org/prop/direct/P6722  | FemBio ID                                                               | 3     |       |
| http://www.wikidata.org/prop/direct/P1053  | ResearcherID                                                            | 3     |       |
| http://www.wikidata.org/prop/direct/P12137 | Linked Open Data Comune Firenze ID                                      | 3     |       |
| http://www.wikidata.org/prop/direct/P1285  | Munzinger Sport number                                                  | 3     |       |
| http://www.wikidata.org/prop/direct/P10070 | IRIS UNIPG author ID                                                    | 3     |       |
| http://www.wikidata.org/prop/direct/P8161  | Italian National Olympic Committee honored athlete ID                   | 3     |       |
| http://www.wikidata.org/prop/direct/P14105 | InterSportStats athlete ID                                              | 3     |       |
| http://www.wikidata.org/prop/direct/P3689  | International Canoe Federation canoer ID                                | 3     |       |
| http://www.wikidata.org/prop/direct/P8094  | GeneaStar person ID                                                     | 3     |       |
| http://www.wikidata.org/prop/direct/P1816  | National Portrait Gallery (London) person ID                            | 3     |       |
| http://www.wikidata.org/prop/direct/P4955  | MR Author ID                                                            | 3     |       |
| http://www.wikidata.org/prop/direct/P1447  | Sports-Reference.com Olympic athlete ID (archived)                      | 3     |       |
| http://www.wikidata.org/prop/direct/P4069  | Italian National Olympic Committee athlete ID                           | 3     |       |
| http://www.wikidata.org/prop/direct/P968   | email address                                                           | 2     |       |
| http://www.wikidata.org/prop/direct/P10    | video                                                                   | 2     |       |
| http://www.wikidata.org/prop/direct/P990   | audio recording of the subject's spoken voice                           | 2     |       |
| http://www.wikidata.org/prop/direct/P91    | sexual orientation                                                      | 2     |       |
| http://www.wikidata.org/prop/direct/P8904  | Parler username (archived)                                              | 2     |       |
| http://www.wikidata.org/prop/direct/P10069 | Tabakalera ID                                                           | 2     |       |
| http://www.wikidata.org/prop/direct/P10525 | Italian Women Writers ID                                                | 2     |       |
| http://www.wikidata.org/prop/direct/P9331  | Storiaememoriadibologna.it ID                                           | 2     |       |
| http://www.wikidata.org/prop/direct/P5436  | number of viewers/listeners                                             | 2     |       |
| http://www.wikidata.org/prop/direct/P1819  | genealogics.org person ID                                               | 2     |       |
| http://www.wikidata.org/prop/direct/P6634  | LinkedIn personal profile ID                                            | 2     |       |
| http://www.wikidata.org/prop/direct/P2562  | married name                                                            | 2     |       |
| http://www.wikidata.org/prop/direct/P4602  | date of burial or cremation                                             | 2     |       |
| http://www.wikidata.org/prop/direct/P2581  | BabelNet ID                                                             | 2     |       |
| http://www.wikidata.org/prop/direct/P1254  | Slovenska biografija ID                                                 | 2     |       |
| http://www.wikidata.org/prop/direct/P598   | commander of (DEPRECATED)                                               | 2     |       |
| http://www.wikidata.org/prop/direct/P4638  | The Peerage person ID                                                   | 2     |       |
| http://www.wikidata.org/prop/direct/P6849  | DR topic ID                                                             | 2     |       |
| http://www.wikidata.org/prop/direct/P1712  | Metacritic ID                                                           | 2     |       |
| http://www.wikidata.org/prop/direct/P2626  | Danish National Filmography person ID                                   | 2     |       |
| http://www.wikidata.org/prop/direct/P1596  | penalty                                                                 | 2     |       |
| http://www.wikidata.org/prop/direct/P5362  | Académie des sciences morales et politiques member ID                   | 2     |       |
| http://www.wikidata.org/prop/direct/P2942  | Dailymotion channel ID                                                  | 2     |       |
| http://www.wikidata.org/prop/direct/P4781  | MYmovies director ID (former scheme)                                    | 2     |       |
| http://www.wikidata.org/prop/direct/P4779  | MYmovies actor ID (former scheme)                                       | 2     |       |
| http://www.wikidata.org/prop/direct/P11936 | Biblioteca centrale Cappuccini authority ID                             | 2     |       |
| http://www.wikidata.org/prop/direct/P1387  | political alignment                                                     | 2     |       |
| http://www.wikidata.org/prop/direct/P13337 | domain name                                                             | 2     |       |
| http://www.wikidata.org/prop/direct/P13255 | L'Humanité topic ID                                                     | 2     |       |
| http://www.wikidata.org/prop/direct/P2031  | start of work period                                                    | 2     |       |
| http://www.wikidata.org/prop/direct/P13240 | Die Tageszeitung tag ID                                                 | 2     |       |
| http://www.wikidata.org/prop/direct/P803   | professorship                                                           | 2     |       |
| http://www.wikidata.org/prop/direct/P4100  | parliamentary group                                                     | 2     |       |
| http://www.wikidata.org/prop/direct/P11510 | ARCA author ID                                                          | 2     |       |
| http://www.wikidata.org/prop/direct/P4112  | danskfilmogtv person ID                                                 | 2     |       |
| http://www.wikidata.org/prop/direct/P2381  | Academic Tree ID                                                        | 2     |       |
| http://www.wikidata.org/prop/direct/P3106  | The Guardian topic ID                                                   | 2     |       |
| http://www.wikidata.org/prop/direct/P2435  | PORT person ID                                                          | 2     |       |
| http://www.wikidata.org/prop/direct/P11719 | Bicocca Open Archive author ID                                          | 2     |       |
| http://www.wikidata.org/prop/direct/P11725 | PubliCatt author ID                                                     | 2     |       |
| http://www.wikidata.org/prop/direct/P9678  | Franciscan Center of Christian Oriental Studies ID                      | 1     |       |
| http://www.wikidata.org/prop/direct/P10071 | EXQUIRITE author ID                                                     | 1     |       |
| http://www.wikidata.org/prop/direct/P2032  | end of work period                                                      | 1     |       |
| http://www.wikidata.org/prop/direct/P2930  | INSPIRE-HEP author ID                                                   | 1     |       |
| http://www.wikidata.org/prop/direct/P1576  | lifestyle                                                               | 1     |       |
| http://www.wikidata.org/prop/direct/P9796  | IRIS SSSUP author ID                                                    | 1     |       |
| http://www.wikidata.org/prop/direct/P9807  | SNK ID                                                                  | 1     |       |
| http://www.wikidata.org/prop/direct/P2456  | DBLP author ID                                                          | 1     |       |
| http://www.wikidata.org/prop/direct/P2383  | CTHS person ID                                                          | 1     |       |
| http://www.wikidata.org/prop/direct/P1890  | CCAB ID                                                                 | 1     |       |
| http://www.wikidata.org/prop/direct/P1960  | Google Scholar author ID                                                | 1     |       |
| http://www.wikidata.org/prop/direct/P1988  | Le Delarge artist ID                                                    | 1     |       |
| http://www.wikidata.org/prop/direct/P2042  | Artsy artist ID                                                         | 1     |       |
| http://www.wikidata.org/prop/direct/P2038  | ResearchGate profile ID                                                 | 1     |       |
| http://www.wikidata.org/prop/direct/P10011 | SISSA Digital Library author ID                                         | 1     |       |
| http://www.wikidata.org/prop/direct/P8850  | CONOR.KS ID                                                             | 1     |       |
| http://www.wikidata.org/prop/direct/P12214 | Akadem person ID                                                        | 1     |       |
| http://www.wikidata.org/prop/direct/P10761 | IRIS UNIFE author ID                                                    | 1     |       |
| http://www.wikidata.org/prop/direct/P8944  | Archivio dei possessori ID                                              | 1     |       |
| http://www.wikidata.org/prop/direct/P8669  | Encyclopaedia Beliana ID                                                | 1     |       |
| http://www.wikidata.org/prop/direct/P10916 | Süddeutsche Zeitung topic ID                                            | 1     |       |
| http://www.wikidata.org/prop/direct/P10937 | IRIS UNIBOCCONI author ID                                               | 1     |       |
| http://www.wikidata.org/prop/direct/P11156 | MMB ID                                                                  | 1     |       |
| http://www.wikidata.org/prop/direct/P7763  | copyright status as a creator                                           | 1     |       |
| http://www.wikidata.org/prop/direct/P11646 | Deutsche Synchronkartei person ID                                       | 1     |       |
| http://www.wikidata.org/prop/direct/P9058  | Fichier des personnes décédées ID (matchID)                             | 1     |       |
| http://www.wikidata.org/prop/direct/P7212  | LyricsTranslate ID                                                      | 1     |       |
| http://www.wikidata.org/prop/direct/P7029  | National Library of Russia ID                                           | 1     |       |
| http://www.wikidata.org/prop/direct/P6723  | BlackPast.org ID                                                        | 1     |       |
| http://www.wikidata.org/prop/direct/P6677  | OpenEdition Books author ID                                             | 1     |       |
| http://www.wikidata.org/prop/direct/P13484 | Know Your Meme slug                                                     | 1     |       |
| http://www.wikidata.org/prop/direct/P6275  | copyright representative                                                | 1     |       |
| http://www.wikidata.org/prop/direct/P6174  | The World Academy of Sciences fellow ID                                 | 1     |       |
| http://www.wikidata.org/prop/direct/P5508  | archINFORM person/group ID                                              | 1     |       |
| http://www.wikidata.org/prop/direct/P5419  | NYRB contributor ID                                                     | 1     |       |
| http://www.wikidata.org/prop/direct/P5378  | Akadem person ID (former scheme)                                        | 1     |       |
| http://www.wikidata.org/prop/direct/P5370  | Entomologists of the World ID                                           | 1     |       |
| http://www.wikidata.org/prop/direct/P5212  | Armenian National Academy of Sciences ID                                | 1     |       |
| http://www.wikidata.org/prop/direct/P13051 | CIRDOC author ID                                                        | 1     |       |
| http://www.wikidata.org/prop/direct/P9426  | Generals of World War II ID                                             | 1     |       |
| http://www.wikidata.org/prop/direct/P1309  | EGAXA ID                                                                | 1     |       |
| http://www.wikidata.org/prop/direct/P4332  | Deutsche Synchronkartei actor ID                                        | 1     |       |
| http://www.wikidata.org/prop/direct/P3901  | ADAGP artist ID                                                         | 1     |       |
| http://www.wikidata.org/prop/direct/P13408 | National Academy of Engineering member ID                               | 1     |       |
|                                            |                                                                         |       |       |
