| p                                          | propLabel                                                               | eff   | notes |
| http://www.wikidata.org/prop/direct/P950   | National Library of Spain SpMaBN ID (BNE v1.0)                          | 349   |       |
| http://www.wikidata.org/prop/direct/P1343  | described by source                                                     | 336   |       |
| http://www.wikidata.org/prop/direct/P6886  | writing language                                                        | 332   |       |
| http://www.wikidata.org/prop/direct/P856   | official website                                                        | 318   |       |
| http://www.wikidata.org/prop/direct/P701   | Dodis ID                                                                | 313   |       |
| http://www.wikidata.org/prop/direct/P6404  | Treccani's Dizionario di Storia ID                                      | 298   |       |
| http://www.wikidata.org/prop/direct/P13049 | DDB person (GND) ID                                                     | 296   |       |
| http://www.wikidata.org/prop/direct/P7293  | National Library of Poland MMS ID                                       | 296   |       |
| http://www.wikidata.org/prop/direct/P1315  | NLA Trove people ID                                                     | 285   |       |
| http://www.wikidata.org/prop/direct/P10553 | IxTheo authority ID                                                     | 279   |       |
| http://www.wikidata.org/prop/direct/P1017  | Vatican Library ID (former scheme)                                      | 270   |       |
| http://www.wikidata.org/prop/direct/P648   | Open Library ID                                                         | 254   |       |
| http://www.wikidata.org/prop/direct/P1186  | MEP directory ID                                                        | 250   |       |
| http://www.wikidata.org/prop/direct/P1331  | PACE member ID                                                          | 244   |       |
| http://www.wikidata.org/prop/direct/P109   | signature                                                               | 234   |       |
| http://www.wikidata.org/prop/direct/P119   | place of burial                                                         | 226   |       |
| http://www.wikidata.org/prop/direct/P7305  | Online PWN Encyclopedia ID                                              | 226   |       |
| http://www.wikidata.org/prop/direct/P3762  | openMLOL author ID                                                      | 222   |       |
| http://www.wikidata.org/prop/direct/P1296  | Gran Enciclopèdia Catalana ID (former scheme)                           | 222   |       |
| http://www.wikidata.org/prop/direct/P691   | NL CR AUT ID                                                            | 222   |       |
| http://www.wikidata.org/prop/direct/P12385 | Gran Enciclopèdia Catalana ID                                           | 222   |       |
| http://www.wikidata.org/prop/direct/P9178  | Biblioteca Franco Serantini ID                                          | 220   |       |
